menu,price,title,url
아메리카노,4500,카페서천,https://place.map.kakao.com/1526232176
라떼,5000,카페서천,https://place.map.kakao.com/1526232176
레몬에이드,6000,카페서천,https://place.map.kakao.com/1526232176
요거트스무디,6000,카페서천,https://place.map.kakao.com/1526232176
대추라떼,6000,카페서천,https://place.map.kakao.com/1526232176
아메리카노,4800,카페아라,https://place.map.kakao.com/2072319170
콜드브루,5000,카페아라,https://place.map.kakao.com/2072319170
디 카페인 콜드브루,5500,카페아라,https://place.map.kakao.com/2072319170
카페라떼,5000,카페아라,https://place.map.kakao.com/2072319170
크림 롱 블랙 (ICE),6000,카페아라,https://place.map.kakao.com/2072319170
토피 넛 라떼,6100,스타벅스 경희대국제캠퍼스점,https://place.map.kakao.com/24208247
아이스 토피 넛 라떼,6100,스타벅스 경희대국제캠퍼스점,https://place.map.kakao.com/24208247
햇사과 주스 591ML,8900,스타벅스 경희대국제캠퍼스점,https://place.map.kakao.com/24208247
민트 콜드 브루,8000,스타벅스 경희대국제캠퍼스점,https://place.map.kakao.com/24208247
클래식 민트 모카,8000,스타벅스 경희대국제캠퍼스점,https://place.map.kakao.com/24208247
오트 크림 스카치 콜드 브루,6000,스타벅스 경희대국제캠퍼스점,https://place.map.kakao.com/24208247
오늘의 커피,4200,스타벅스 경희대국제캠퍼스점,https://place.map.kakao.com/24208247
카푸치노,5000,스타벅스 경희대국제캠퍼스점,https://place.map.kakao.com/24208247
카페 라떼,5000,스타벅스 경희대국제캠퍼스점,https://place.map.kakao.com/24208247
카페 모카,5500,스타벅스 경희대국제캠퍼스점,https://place.map.kakao.com/24208247
카페 아메리카노,4500,스타벅스 경희대국제캠퍼스점,https://place.map.kakao.com/24208247
카라멜 마키아또,5900,스타벅스 경희대국제캠퍼스점,https://place.map.kakao.com/24208247
화이트 초콜릿 모카,5900,스타벅스 경희대국제캠퍼스점,https://place.map.kakao.com/24208247
스타벅스 돌체 라떼,5900,스타벅스 경희대국제캠퍼스점,https://place.map.kakao.com/24208247
자바 칩 프라푸치노,6300,스타벅스 경희대국제캠퍼스점,https://place.map.kakao.com/24208247
망고 바나나 블렌디드,6300,스타벅스 경희대국제캠퍼스점,https://place.map.kakao.com/24208247
아이스 자몽 허니 블랙 티,5700,스타벅스 경희대국제캠퍼스점,https://place.map.kakao.com/24208247
자몽 허니 블랙 티,5700,스타벅스 경희대국제캠퍼스점,https://place.map.kakao.com/24208247
콜드 브루,4900,스타벅스 경희대국제캠퍼스점,https://place.map.kakao.com/24208247
디카페인 카페 아메리카노,4800,스타벅스 경희대국제캠퍼스점,https://place.map.kakao.com/24208247
디카페인 카페 라떼,5300,스타벅스 경희대국제캠퍼스점,https://place.map.kakao.com/24208247
제주 유기농 말차로 만든 라떼,6100,스타벅스 경희대국제캠퍼스점,https://place.map.kakao.com/24208247
돌체 콜드 브루,6000,스타벅스 경희대국제캠퍼스점,https://place.map.kakao.com/24208247
아메리카노,3800,스위티두,https://place.map.kakao.com/2085997289
카페라떼,4300,스위티두,https://place.map.kakao.com/2085997289
스파클링 자몽블랙,5500,스위티두,https://place.map.kakao.com/2085997289
생라임 에이드,5500,스위티두,https://place.map.kakao.com/2085997289
요거트 스무디,4300,스위티두,https://place.map.kakao.com/2085997289
아메리카노,4000,카페원모어 영통점,https://place.map.kakao.com/1824393352
카페라떼,4500,카페원모어 영통점,https://place.map.kakao.com/1824393352
자몽티,6000,카페원모어 영통점,https://place.map.kakao.com/1824393352
그린티라떼,5000,카페원모어 영통점,https://place.map.kakao.com/1824393352
레몬에이드,6000,카페원모어 영통점,https://place.map.kakao.com/1824393352
아메리카노(HOT),4000,전광수커피하우스 수원점,https://place.map.kakao.com/14515844
카페라떼(HOT),4500,전광수커피하우스 수원점,https://place.map.kakao.com/14515844
얼그레이(HOT),6000,전광수커피하우스 수원점,https://place.map.kakao.com/14515844
토마토 쥬스,6000,전광수커피하우스 수원점,https://place.map.kakao.com/14515844
복숭아 스무디,6000,전광수커피하우스 수원점,https://place.map.kakao.com/14515844
아메리카노(HOT),3800,카페페이버,https://place.map.kakao.com/1030376655
아메리카노 (프레마),4000,앙코르보아,https://place.map.kakao.com/430974790
카페라떼,4500,앙코르보아,https://place.map.kakao.com/430974790
앙코르라떼,5700,앙코르보아,https://place.map.kakao.com/430974790
브라우니,4000,앙코르보아,https://place.map.kakao.com/430974790
망고바나나주스,6700,앙코르보아,https://place.map.kakao.com/430974790
생강차,5500,앙코르보아,https://place.map.kakao.com/430974790
팥빙수(S),5500,화이트스노우 영통점,https://place.map.kakao.com/23612757
수박빙수(S),5000,화이트스노우 영통점,https://place.map.kakao.com/23612757
커피빙수(S),5000,화이트스노우 영통점,https://place.map.kakao.com/23612757
블루베리빙수(S),6500,화이트스노우 영통점,https://place.map.kakao.com/23612757
오레오빙수(S),6500,화이트스노우 영통점,https://place.map.kakao.com/23612757
아메리카노,3000,벌툰 수원영통점,https://place.map.kakao.com/1979064842
카페라떼,3500,벌툰 수원영통점,https://place.map.kakao.com/1979064842
초콜렛라떼,4000,벌툰 수원영통점,https://place.map.kakao.com/1979064842
복숭아 아이스티,3000,벌툰 수원영통점,https://place.map.kakao.com/1979064842
얼그레이,3500,벌툰 수원영통점,https://place.map.kakao.com/1979064842
