menu,price,title,url
토피 넛 라떼,6100,스타벅스 수원영통점,https://place.map.kakao.com/17884712
아이스 토피 넛 라떼,6100,스타벅스 수원영통점,https://place.map.kakao.com/17884712
햇사과 주스 591ML,8900,스타벅스 수원영통점,https://place.map.kakao.com/17884712
민트 콜드 브루,8000,스타벅스 수원영통점,https://place.map.kakao.com/17884712
클래식 민트 모카,8000,스타벅스 수원영통점,https://place.map.kakao.com/17884712
오트 크림 스카치 콜드 브루,6000,스타벅스 수원영통점,https://place.map.kakao.com/17884712
오늘의 커피,4200,스타벅스 수원영통점,https://place.map.kakao.com/17884712
카푸치노,5000,스타벅스 수원영통점,https://place.map.kakao.com/17884712
카페 라떼,5000,스타벅스 수원영통점,https://place.map.kakao.com/17884712
카페 모카,5500,스타벅스 수원영통점,https://place.map.kakao.com/17884712
카페 아메리카노,4500,스타벅스 수원영통점,https://place.map.kakao.com/17884712
카라멜 마키아또,5900,스타벅스 수원영통점,https://place.map.kakao.com/17884712
화이트 초콜릿 모카,5900,스타벅스 수원영통점,https://place.map.kakao.com/17884712
스타벅스 돌체 라떼,5900,스타벅스 수원영통점,https://place.map.kakao.com/17884712
자바 칩 프라푸치노,6300,스타벅스 수원영통점,https://place.map.kakao.com/17884712
망고 바나나 블렌디드,6300,스타벅스 수원영통점,https://place.map.kakao.com/17884712
아이스 자몽 허니 블랙 티,5700,스타벅스 수원영통점,https://place.map.kakao.com/17884712
자몽 허니 블랙 티,5700,스타벅스 수원영통점,https://place.map.kakao.com/17884712
콜드 브루,4900,스타벅스 수원영통점,https://place.map.kakao.com/17884712
디카페인 카페 아메리카노,4800,스타벅스 수원영통점,https://place.map.kakao.com/17884712
디카페인 카페 라떼,5300,스타벅스 수원영통점,https://place.map.kakao.com/17884712
제주 유기농 말차로 만든 라떼,6100,스타벅스 수원영통점,https://place.map.kakao.com/17884712
돌체 콜드 브루,6000,스타벅스 수원영통점,https://place.map.kakao.com/17884712
아메리카노,4000,카인드엉클,https://place.map.kakao.com/318557730
카페라떼,4500,카인드엉클,https://place.map.kakao.com/318557730
생과일크러쉬,7000,카인드엉클,https://place.map.kakao.com/318557730
생과일주스,6000,카인드엉클,https://place.map.kakao.com/318557730
빙수,16000,카인드엉클,https://place.map.kakao.com/318557730
아메리카노,4800,카페아라,https://place.map.kakao.com/2072319170
콜드브루,5000,카페아라,https://place.map.kakao.com/2072319170
디 카페인 콜드브루,5500,카페아라,https://place.map.kakao.com/2072319170
카페라떼,5000,카페아라,https://place.map.kakao.com/2072319170
크림 롱 블랙 (ICE),6000,카페아라,https://place.map.kakao.com/2072319170
아메리카노,3000,벌툰 수원영통점,https://place.map.kakao.com/1979064842
카페라떼,3500,벌툰 수원영통점,https://place.map.kakao.com/1979064842
