menu,price,title
토피 넛 라떼,6100,스타벅스 수원망포DT점
아이스 토피 넛 라떼,6100,스타벅스 수원망포DT점
햇사과 주스 591ML,8900,스타벅스 수원망포DT점
민트 콜드 브루,8000,스타벅스 수원망포DT점
클래식 민트 모카,8000,스타벅스 수원망포DT점
오트 크림 스카치 콜드 브루,6000,스타벅스 수원망포DT점
오늘의 커피,4200,스타벅스 수원망포DT점
카푸치노,5000,스타벅스 수원망포DT점
카페 라떼,5000,스타벅스 수원망포DT점
카페 모카,5500,스타벅스 수원망포DT점
카페 아메리카노,4500,스타벅스 수원망포DT점
카라멜 마키아또,5900,스타벅스 수원망포DT점
화이트 초콜릿 모카,5900,스타벅스 수원망포DT점
스타벅스 돌체 라떼,5900,스타벅스 수원망포DT점
자바 칩 프라푸치노,6300,스타벅스 수원망포DT점
망고 바나나 블렌디드,6300,스타벅스 수원망포DT점
아이스 자몽 허니 블랙 티,5700,스타벅스 수원망포DT점
자몽 허니 블랙 티,5700,스타벅스 수원망포DT점
콜드 브루,4900,스타벅스 수원망포DT점
디카페인 카페 아메리카노,4800,스타벅스 수원망포DT점
디카페인 카페 라떼,5300,스타벅스 수원망포DT점
제주 유기농 말차로 만든 라떼,6100,스타벅스 수원망포DT점
돌체 콜드 브루,6000,스타벅스 수원망포DT점
플랫화이트,4500,정지영커피로스터즈 망포점
탱글탱글자몽티,5500,정지영커피로스터즈 망포점
코코넛,5500,정지영커피로스터즈 망포점
아메리카노,4000,정지영커피로스터즈 망포점
카페라떼,5000,정지영커피로스터즈 망포점
아메리카노,3800,서른책방
라떼,4300,서른책방
바닐라라떼,4500,서른책방
뉴욕 셀처 Soda,4000,서른책방
허브티,4500,서른책방
아메리카노,4000,M535
카페라떼,4500,M535
아인슈페너,6000,M535
캐모마일,4000,M535
유자에이드,5000,M535
토피 넛 라떼,6100,스타벅스 수원망포역점
아이스 토피 넛 라떼,6100,스타벅스 수원망포역점
햇사과 주스 591ML,8900,스타벅스 수원망포역점
민트 콜드 브루,8000,스타벅스 수원망포역점
클래식 민트 모카,8000,스타벅스 수원망포역점
오트 크림 스카치 콜드 브루,6000,스타벅스 수원망포역점
오늘의 커피,4200,스타벅스 수원망포역점
카푸치노,5000,스타벅스 수원망포역점
카페 라떼,5000,스타벅스 수원망포역점
카페 모카,5500,스타벅스 수원망포역점
카페 아메리카노,4500,스타벅스 수원망포역점
카라멜 마키아또,5900,스타벅스 수원망포역점
화이트 초콜릿 모카,5900,스타벅스 수원망포역점
스타벅스 돌체 라떼,5900,스타벅스 수원망포역점
자바 칩 프라푸치노,6300,스타벅스 수원망포역점
망고 바나나 블렌디드,6300,스타벅스 수원망포역점
아이스 자몽 허니 블랙 티,5700,스타벅스 수원망포역점
자몽 허니 블랙 티,5700,스타벅스 수원망포역점
콜드 브루,4900,스타벅스 수원망포역점
디카페인 카페 아메리카노,4800,스타벅스 수원망포역점
디카페인 카페 라떼,5300,스타벅스 수원망포역점
제주 유기농 말차로 만든 라떼,6100,스타벅스 수원망포역점
돌체 콜드 브루,6000,스타벅스 수원망포역점
쇼콜라쇼,5500,쿵로스터리
아메리카노,3500,쿵로스터리
카페라떼,4300,쿵로스터리
크림모카,5300,쿵로스터리
손수티라미수,6000,쿵로스터리
아메리카노,4500,챕터커피
카페라떼,5000,챕터커피
플랫화이트,5000,챕터커피
레드 후르츠,5500,챕터커피
레몬청 티,5500,챕터커피
아이스 아메리카노(R),4500,파스쿠찌 수원망포점
아이스 카페라떼(R),5000,파스쿠찌 수원망포점
아이스 바닐라라떼 마끼아또(R),5800,파스쿠찌 수원망포점
아이스 카라멜라떼 마끼아또(R),5800,파스쿠찌 수원망포점
허니브레드(생크림),6200,파스쿠찌 수원망포점
아메리카노(R),4500,파스쿠찌 수원망포점
카페라떼(R),5000,파스쿠찌 수원망포점
(L) 아이스 Oh!미자,6100,파스쿠찌 수원망포점
(R) Oh!미자,5600,파스쿠찌 수원망포점
카라멜라떼 마끼아또(R),5800,파스쿠찌 수원망포점
(L)아이스흑당펄밀크티,6300,파스쿠찌 수원망포점
바닐라라떼 마끼아또(R),5800,파스쿠찌 수원망포점
영그레이,4800,파스쿠찌 수원망포점
(V)아이스 바닐라 라떼 마끼아또,6800,파스쿠찌 수원망포점
(L)아메리카노,5000,파스쿠찌 수원망포점
(L)아이스 아메리카노,5000,파스쿠찌 수원망포점
(L)카페라떼,5500,파스쿠찌 수원망포점
